model,RMSE,MAE,R2
Extra Trees,65.58152490512136,28.72060265245203,0.8319425886439591
Gradient Boosting tuned,65.61670710545886,28.122830558244832,0.8317622264006956
Random Forest tuned,65.70319102758013,27.499009551467484,0.8313184537204235
Random Forest,66.02878666148293,28.879567044776117,0.8296424906963553
Gradient Boosting,66.57572979219283,28.613959479256373,0.8268085214261393
Linear Regression,87.41263326193909,40.23998208897635,0.7014321402323243
Ridge tuned,87.41281460740622,40.239620782567634,0.7014309014186164
Ridge,87.41440044701248,40.22617845027677,0.7014200680642892
Lasso,87.47228464613707,39.8712218312928,0.7010245089251138
